parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness,expiration_date,is_quoted,abs_mny_distance,IV_mid
2026-02-25 23:02:25.186903,SR175CI8,CALL,175.0,2.565,0.0,0.0,317.1,0,0.0,,1.812,2028-09-19,False,0.812,
2026-02-25 23:02:25.448350,SR310CU8,PUT,310.0,2.565,0.0,0.0,317.1,0,0.0,,1.0229032258064517,2028-09-19,False,0.022903225806451655,
2026-02-25 23:02:25.729995,SR225CI9,CALL,225.0,3.562,0.0,0.0,317.1,0,0.0,,1.409333333333333,2029-09-18,False,0.4093333333333331,
2026-02-25 23:02:25.991324,SR160CF9,CALL,160.0,3.313,0.0,0.0,317.1,0,0.0,,1.981875,2029-06-20,False,0.981875,
2026-02-25 23:02:26.269055,SR205CU9,PUT,205.0,3.562,0.0,0.0,317.1,0,0.0,,1.546829268292683,2029-09-18,False,0.546829268292683,
2026-02-25 23:02:26.530805,SR130CC9,CALL,130.0,3.064,0.0,0.0,317.1,0,0.0,,2.4392307692307695,2029-03-21,False,1.4392307692307695,
2026-02-25 23:02:26.795903,SR225CC8,CALL,225.0,2.048,0.0,0.0,317.1,0,0.0,,1.409333333333333,2028-03-14,False,0.4093333333333331,
2026-02-25 23:02:27.049954,SR220CX7,PUT,220.0,1.799,0.0,0.0,317.1,0,0.0,,1.4413636363636364,2027-12-15,False,0.4413636363636364,
2026-02-25 23:02:27.306949,SR110CO0,PUT,110.0,4.06,0.0,0.0,317.1,0,0.0,,2.882727272727273,2030-03-19,False,1.8827272727272728,
2026-02-25 23:02:27.562210,SR120CU8,PUT,120.0,2.565,0.0,0.0,317.1,0,0.0,,2.6425,2028-09-19,False,1.6425,
2026-02-25 23:02:27.815966,SR200CC9,CALL,200.0,3.064,0.0,0.0,317.1,0,0.0,,1.5855,2029-03-21,False,0.5854999999999999,
2026-02-25 23:02:28.083424,SR220CR8,PUT,220.0,2.316,0.0,0.0,317.1,0,0.0,,1.4413636363636364,2028-06-20,False,0.4413636363636364,
2026-02-25 23:02:28.346103,SR160CO8,PUT,160.0,2.048,0.0,0.0,317.1,0,0.0,,1.981875,2028-03-14,False,0.981875,
2026-02-25 23:02:28.618017,SR320CC6B,CALL,320.0,0.036,3.0,4.28,317.1,2,3.64,0.3516483516483517,0.9909375,2026-03-11,True,0.009062499999999973,0.17827100422940267
2026-02-25 23:02:28.875221,SR245CO8,PUT,245.0,2.048,0.0,0.0,317.1,0,0.0,,1.2942857142857145,2028-03-14,False,0.2942857142857145,
2026-02-25 23:02:29.134414,SR155CF8,CALL,155.0,2.316,0.0,0.0,317.1,0,0.0,,2.0458064516129033,2028-06-20,False,1.0458064516129033,
2026-02-25 23:02:29.405634,SR340CL7,CALL,340.0,1.799,0.0,0.0,317.1,0,0.0,,0.9326470588235296,2027-12-15,False,0.0673529411764704,
2026-02-25 23:02:29.672560,SR300CX8,PUT,300.0,2.815,0.0,0.0,317.1,0,0.0,,1.0570000000000002,2028-12-20,False,0.05700000000000016,
2026-02-25 23:02:29.947872,SR140CC8,CALL,140.0,2.048,0.0,0.0,317.1,0,0.0,,2.265,2028-03-14,False,1.2650000000000001,
2026-02-25 23:02:30.207394,SR330CC6A,CALL,330.0,0.016,0.23,0.4,317.1,33465,0.315,0.5396825396825398,0.9609090909090908,2026-03-03,True,0.039090909090909176,0.2123876732152361
2026-02-25 23:02:30.465194,SR330CR8,PUT,330.0,2.316,0.0,0.0,317.1,0,0.0,,0.9609090909090908,2028-06-20,False,0.039090909090909176,
2026-02-25 23:02:30.731855,SR325CF9,CALL,325.0,3.313,0.0,0.0,317.1,0,0.0,,0.9756923076923076,2029-06-20,False,0.024307692307692363,
2026-02-25 23:02:30.995650,SR75CL9,CALL,75.0,3.811,0.0,0.0,317.1,0,0.0,,4.228000000000001,2029-12-18,False,3.2280000000000006,
2026-02-25 23:02:31.248531,SR355CF8,CALL,355.0,2.316,0.0,0.0,317.1,0,0.0,,0.8932394366197184,2028-06-20,False,0.10676056338028161,
2026-02-25 23:02:31.508092,SR235CC8,CALL,235.0,2.048,0.0,0.0,317.1,0,0.0,,1.3493617021276596,2028-03-14,False,0.3493617021276596,
2026-02-25 23:02:31.769038,SR290CC8,CALL,290.0,2.048,0.0,0.0,317.09,0,0.0,,1.0934137931034482,2028-03-14,False,0.09341379310344822,
2026-02-25 23:02:32.046094,SR140CR8,PUT,140.0,2.316,0.0,0.0,317.09,0,0.0,,2.2649285714285714,2028-06-20,False,1.2649285714285714,
2026-02-25 23:02:32.317745,SR320CC0,CALL,320.0,4.06,0.0,0.0,317.09,0,0.0,,0.99090625,2030-03-19,False,0.009093750000000012,
2026-02-25 23:02:32.591131,SR205CU8,PUT,205.0,2.565,0.0,0.0,317.06,0,0.0,,1.5466341463414637,2028-09-19,False,0.5466341463414637,
2026-02-25 23:02:32.859838,SR160CU8,PUT,160.0,2.565,0.0,0.0,317.06,0,0.0,,1.981625,2028-09-19,False,0.981625,
2026-02-25 23:02:33.118540,SR135CI8,CALL,135.0,2.565,0.0,0.0,317.06,0,0.0,,2.348592592592593,2028-09-19,False,1.3485925925925928,
2026-02-25 23:02:33.378492,SR295CX7,PUT,295.0,1.799,0.0,0.0,317.06,0,0.0,,1.074779661016949,2027-12-15,False,0.0747796610169491,
