,parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness
1789,2026-02-25 23:14:47.673750,SR165CO0,PUT,165.0,4.06,0.0,0.0,317.19,0,0.0,,1.9223636363636363
1790,2026-02-25 23:14:48.148751,SR175CL9,CALL,175.0,3.811,0.0,0.0,317.19,0,0.0,,1.8125142857142857
1791,2026-02-25 23:14:48.623205,SR170CC8,CALL,170.0,2.048,0.0,0.0,317.19,0,0.0,,1.8658235294117647
1792,2026-02-25 23:14:49.089480,SR280CF8,CALL,280.0,2.316,0.0,0.0,317.19,0,0.0,,1.1328214285714286
1793,2026-02-25 23:14:49.563148,SR345CI8,CALL,345.0,2.565,0.0,0.0,317.19,0,0.0,,0.9193913043478261
1794,2026-02-25 23:14:50.044602,SR385CR8,PUT,385.0,2.316,0.0,0.0,317.19,0,0.0,,0.8238701298701299
1795,2026-02-25 23:14:50.522327,SR280CU6,PUT,280.0,0.553,0.0,0.0,317.19,0,0.0,,1.1328214285714286
1796,2026-02-25 23:14:51.022309,SR380CI8,CALL,380.0,2.565,0.0,0.0,317.2,0,0.0,,0.8347368421052631
1797,2026-02-25 23:14:51.499274,SR320CF9,CALL,320.0,3.313,0.0,0.0,317.2,0,0.0,,0.99125
1798,2026-02-25 23:14:51.974771,SR165CR8,PUT,165.0,2.316,0.0,0.0,317.2,0,0.0,,1.9224242424242424
1799,2026-02-25 23:14:52.447095,SR280CD6,CALL,280.0,0.131,40.11,0.0,317.2,0,20.055,-2.0,1.1328571428571428
1800,2026-02-25 23:14:52.928501,SR80CO0,PUT,80.0,4.06,0.0,0.0,317.2,0,0.0,,3.965
1801,2026-02-25 23:14:53.405928,SR105CI9,CALL,105.0,3.562,0.0,0.0,317.2,0,0.0,,3.020952380952381
1802,2026-02-25 23:14:53.882357,SR255CX8,PUT,255.0,2.815,0.0,0.0,317.2,0,0.0,,1.243921568627451
1803,2026-02-25 23:14:54.358563,SR285CL9,CALL,285.0,3.811,0.0,0.0,317.2,0,0.0,,1.1129824561403507
1804,2026-02-25 23:14:54.826444,SR300CL9,CALL,300.0,3.811,0.0,0.0,317.2,0,0.0,,1.0573333333333332
1805,2026-02-25 23:14:55.306074,SR150CX8,PUT,150.0,2.815,0.0,0.0,317.2,0,0.0,,2.1146666666666665
1806,2026-02-25 23:14:55.774639,SR285CC0,CALL,285.0,4.06,0.0,0.0,317.2,0,0.0,,1.1129824561403507
1807,2026-02-25 23:14:56.241859,SR290CC9,CALL,290.0,3.064,0.0,0.0,317.2,0,0.0,,1.0937931034482757
1808,2026-02-25 23:14:56.717823,SR250CO6,PUT,250.0,0.055,0.1,0.64,317.2,0,0.37,1.4594594594594597,1.2688
1809,2026-02-25 23:14:57.187994,SR235CX8,PUT,235.0,2.815,0.0,0.0,317.2,0,0.0,,1.3497872340425532
1810,2026-02-25 23:14:57.664679,SR375CU8,PUT,375.0,2.565,0.0,0.0,317.2,0,0.0,,0.8458666666666667
1811,2026-02-25 23:14:58.133810,SR260CO8,PUT,260.0,2.048,0.0,0.0,317.2,0,0.0,,1.22
1812,2026-02-25 23:14:58.603242,SR230CO6,PUT,230.0,0.055,0.0,0.64,317.2,0,0.32,2.0,1.3791304347826085
1813,2026-02-25 23:14:59.074586,SR105CI8,CALL,105.0,2.565,0.0,0.0,317.2,0,0.0,,3.020952380952381
1814,2026-02-25 23:14:59.547278,SR350CL8,CALL,350.0,2.815,0.0,0.0,317.19,0,0.0,,0.9062571428571429
1815,2026-02-25 23:15:00.028150,SR180CU8,PUT,180.0,2.565,0.0,0.0,317.19,0,0.0,,1.7621666666666667
1816,2026-02-25 23:15:00.509903,SR175CX9,PUT,175.0,3.811,0.0,0.0,317.19,0,0.0,,1.8125142857142857
1817,2026-02-25 23:15:00.981821,SR320CL8,CALL,320.0,2.815,0.0,0.0,317.19,0,0.0,,0.99121875
1818,2026-02-25 23:15:01.457495,SR365CI8,CALL,365.0,2.565,0.0,0.0,317.19,0,0.0,,0.869013698630137
1819,2026-02-25 23:15:01.930821,SR170CU9,PUT,170.0,3.562,0.0,0.0,317.2,0,0.0,,1.8658823529411763
1820,2026-02-25 23:15:02.400548,SR370CR9,PUT,370.0,3.313,0.0,0.0,317.2,0,0.0,,0.8572972972972973
1821,2026-02-25 23:15:02.866972,SR55CL9,CALL,55.0,3.811,0.0,0.0,317.2,0,0.0,,5.767272727272727
1822,2026-02-25 23:15:03.338235,SR380CF9,CALL,380.0,3.313,0.0,0.0,317.2,0,0.0,,0.8347368421052631
